Date : 2026-03-23 07:10:54
Directory : d:\MyQuantProject
Total : 174 files,  27424 codes, 2334 comments, 6856 blanks, all 36614 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Markdown         |         60 |     15,847 |          0 |      5,011 |     20,858 |
| Python           |         68 |      6,978 |      2,311 |      1,806 |     11,095 |
| CSV              |          2 |      4,072 |          0 |          2 |      4,074 |
| JSON             |         41 |        361 |          0 |          0 |        361 |
| Shell Script     |          1 |        114 |          7 |         17 |        138 |
| YAML             |          1 |         43 |          2 |         12 |         57 |
| pip requirements |          1 |          9 |         14 |          8 |         31 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        174 |     27,424 |      2,334 |      6,856 |     36,614 |
| . (Files)                                                                             |         10 |      1,948 |         65 |        553 |      2,566 |
| .github                                                                               |          3 |        209 |          2 |         33 |        244 |
| .github\ISSUE_TEMPLATE                                                                |          2 |        166 |          0 |         21 |        187 |
| .github\workflows                                                                     |          1 |         43 |          2 |         12 |         57 |
| Analytics                                                                             |          5 |        458 |        301 |        117 |        876 |
| Analytics\metrics                                                                     |          1 |          0 |          0 |          1 |          1 |
| Analytics\reporters                                                                   |          4 |        458 |        301 |        116 |        875 |
| Core_Bus                                                                              |          2 |         21 |         10 |          8 |         39 |
| Data_Hub                                                                              |         45 |        456 |         12 |         20 |        488 |
| Data_Hub\cleaners                                                                     |          1 |          0 |          0 |          1 |          1 |
| Data_Hub\fetchers                                                                     |          3 |         75 |         12 |         18 |        105 |
| Data_Hub\model_registry                                                               |         41 |        381 |          0 |          1 |        382 |
| Engine_Matrix                                                                         |          5 |        272 |        236 |        101 |        609 |
| Engine_Matrix (Files)                                                                 |          3 |        272 |        236 |         99 |        607 |
| Engine_Matrix\external_wrappers                                                       |          1 |          0 |          0 |          1 |          1 |
| Engine_Matrix\simulators                                                              |          1 |          0 |          0 |          1 |          1 |
| GUI_Client                                                                            |          4 |      1,768 |        206 |        341 |      2,315 |
| Strategy_Pool                                                                         |         13 |      2,557 |        771 |        774 |      4,102 |
| Strategy_Pool (Files)                                                                 |          2 |        412 |        176 |         87 |        675 |
| Strategy_Pool\adapters                                                                |          1 |          0 |          0 |          1 |          1 |
| Strategy_Pool\base                                                                    |          1 |          0 |          0 |          1 |          1 |
| Strategy_Pool\custom                                                                  |          9 |      2,145 |        595 |        685 |      3,425 |
| data                                                                                  |          1 |          1 |          0 |          0 |          1 |
| docs                                                                                  |         54 |     17,377 |         27 |      4,192 |     21,596 |
| docs (Files)                                                                          |          5 |      5,112 |          0 |        390 |      5,502 |
| docs\CODE_REVIEW                                                                      |          8 |      2,773 |          0 |        817 |      3,590 |
| docs\FIXES                                                                            |          5 |      1,234 |          0 |        363 |      1,597 |
| docs\GITHUB                                                                           |          4 |        786 |          7 |        274 |      1,067 |
| docs\GUIDES                                                                           |          3 |        616 |         20 |        205 |        841 |
| docs\IMPLEMENTATION                                                                   |         13 |      2,840 |          0 |        921 |      3,761 |
| docs\PROJECT_MANAGEMENT                                                               |          4 |        790 |          0 |        242 |      1,032 |
| docs\RELEASES                                                                         |          3 |        787 |          0 |        244 |      1,031 |
| docs\STRATEGIES                                                                       |          4 |      1,347 |          0 |        382 |      1,729 |
| docs\STRATEGIES\MEAN_REVERSION                                                        |          4 |      1,347 |          0 |        382 |      1,729 |
| docs\XGBOOST                                                                          |          5 |      1,092 |          0 |        354 |      1,446 |
| shared                                                                                |          2 |         55 |         33 |         17 |        105 |
| tests                                                                                 |         27 |      2,226 |        555 |        674 |      3,455 |
| tests (Files)                                                                         |         26 |      2,118 |        535 |        642 |      3,295 |
| tests\examples                                                                        |          1 |        108 |         20 |         32 |        160 |
| utils                                                                                 |          3 |         76 |        116 |         26 |        218 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\MyQuantProject\.github\ISSUE_TEMPLATE\bug_report.md                                | Markdown         |         92 |          0 |         11 |        103 |
| d:\MyQuantProject\.github\ISSUE_TEMPLATE\feature_request.md                           | Markdown         |         74 |          0 |         10 |         84 |
| d:\MyQuantProject\.github\workflows\tests.yml                                         | YAML             |         43 |          2 |         12 |         57 |
| d:\MyQuantProject\Analytics\metrics\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Analytics\reporters\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Analytics\reporters\company_info_manager.py                         | Python           |        126 |         99 |         37 |        262 |
| d:\MyQuantProject\Analytics\reporters\periodicity_analyzer.py                         | Python           |        154 |         94 |         53 |        301 |
| d:\MyQuantProject\Analytics\reporters\sharpe_rating.py                                | Python           |        178 |        108 |         25 |        311 |
| d:\MyQuantProject\CHANGELOG.md                                                        | Markdown         |        152 |          0 |         49 |        201 |
| d:\MyQuantProject\CONTRIBUTING.md                                                     | Markdown         |        227 |          0 |         80 |        307 |
| d:\MyQuantProject\Core_Bus\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Core_Bus\standard.py                                                | Python           |         21 |         10 |          7 |         38 |
| d:\MyQuantProject\Data_Hub\cleaners\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Data_Hub\fetchers\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Data_Hub\fetchers\batch_yf_update.py                                | Python           |         28 |          5 |          5 |         38 |
| d:\MyQuantProject\Data_Hub\fetchers\yf_downloader.py                                  | Python           |         47 |          7 |         12 |         66 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052034.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052109.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052248.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052617.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052701.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052902.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_052943.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_053115.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_053257.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_053340.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_054224.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_054536.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_055338.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_055510.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_060049.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_060607.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_060619.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_060624.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_061935.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\metadata_20260323_062718.json               | JSON             |         17 |          0 |          0 |         17 |
| d:\MyQuantProject\Data_Hub\model_registry\registry.csv                                | CSV              |         21 |          0 |          1 |         22 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052034.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052109.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052248.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052617.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052701.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052902.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_052943.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053115.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053257.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_053340.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_054224.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_054536.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_055338.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_055510.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060049.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060607.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060619.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_060624.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_061935.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Data_Hub\model_registry\xgboost_20260323_062718.json                | JSON             |          1 |          0 |          0 |          1 |
| d:\MyQuantProject\Engine_Matrix\__init__.py                                           | Python           |          2 |          1 |          2 |          5 |
| d:\MyQuantProject\Engine_Matrix\advanced_simulator.py                                 | Python           |        101 |        129 |         43 |        273 |
| d:\MyQuantProject\Engine_Matrix\backtest_engine.py                                    | Python           |        169 |        106 |         54 |        329 |
| d:\MyQuantProject\Engine_Matrix\external_wrappers\__init__.py                         | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Engine_Matrix\simulators\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\GUI_Client\__init__.py                                              | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\GUI_Client\app.py                                                   | Python           |         77 |         18 |         19 |        114 |
| d:\MyQuantProject\GUI_Client\app_v2.py                                                | Python           |      1,550 |        174 |        290 |      2,014 |
| d:\MyQuantProject\GUI_Client\xgboost_worker.py                                        | Python           |        141 |         14 |         31 |        186 |
| d:\MyQuantProject\README.md                                                           | Markdown         |      1,164 |          0 |        329 |      1,493 |
| d:\MyQuantProject\RELEASE_v3_SUMMARY.md                                               | Markdown         |         98 |          0 |         37 |        135 |
| d:\MyQuantProject\Strategy_Pool\adapters\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Strategy_Pool\base\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Strategy_Pool\custom\API_REFERENCE.md                               | Markdown         |        298 |          0 |        106 |        404 |
| d:\MyQuantProject\Strategy_Pool\custom\INTEGRATION_GUIDE.md                           | Markdown         |        375 |          0 |        137 |        512 |
| d:\MyQuantProject\Strategy_Pool\custom\XGBOOST_ML_STRATEGY_GUIDE.md                   | Markdown         |        263 |          0 |        110 |        373 |
| d:\MyQuantProject\Strategy_Pool\custom\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| d:\MyQuantProject\Strategy_Pool\custom\cyclical_strategies.py                         | Python           |        149 |         96 |         58 |        303 |
| d:\MyQuantProject\Strategy_Pool\custom\mean_reversion_volatility.py                   | Python           |        146 |        159 |         47 |        352 |
