boll_period,boll_std,extreme_period,ma_period,total_return,win_rate
10,1.0,10,10,-0.449242190858655,0.016666666666666666
10,1.0,10,20,-0.24493896563898696,0.020833333333333332
10,1.0,10,30,-0.05665668187023427,0.0
10,1.0,10,40,-0.40888157466580183,0.0
10,1.0,10,50,-0.16699336001436896,0.0
10,1.0,10,60,0.4088842260930372,0.0
10,1.0,10,70,0.015666525804026485,0.0
10,1.0,10,80,-0.03878739257382149,0.0
10,1.0,10,90,-0.009958946457924807,0.0625
10,1.0,10,100,-0.06541983179863516,0.0
10,1.0,15,10,-0.3694560657079951,0.0
10,1.0,15,20,-0.3583564819403039,0.0
10,1.0,15,30,-0.17558909804768397,0.0
10,1.0,15,40,-0.24988949357834778,0.0
10,1.0,15,50,-0.15061880737044292,0.0
10,1.0,15,60,0.2990608755457407,0.0
10,1.0,15,70,0.3029871091524372,0.0
10,1.0,15,80,0.2840112193969195,0.0
10,1.0,15,90,-0.006481665115222495,0.0
10,1.0,15,100,0.06756420918065184,0.0
10,1.0,20,10,0.07454284684832625,0.0
10,1.0,20,20,0.07454284684832625,0.0
10,1.0,20,30,0.05462493197343089,0.0
10,1.0,20,40,0.10601251553293259,0.0
10,1.0,20,50,-0.029860617611979737,0.0
10,1.0,20,60,0.36080416266433507,0.0
10,1.0,20,70,0.3435313596328,0.0
10,1.0,20,80,0.3842884397145535,0.0
10,1.0,20,90,0.5465907553477862,0.0
10,1.0,20,100,0.19047716496776362,0.0
10,1.0,25,10,0.0430524187664984,0.0
10,1.0,25,20,0.0430524187664984,0.0
10,1.0,25,30,0.024045520684270013,0.0
10,1.0,25,40,0.1674138799977096,0.0
10,1.0,25,50,0.04264090044878576,0.0
10,1.0,25,60,0.2625619416629607,0.0
10,1.0,25,70,0.3026762278100202,0.0
10,1.0,25,80,0.3574939102331094,0.0
10,1.0,25,90,0.42009627221447493,0.0
10,1.0,25,100,0.09310894189782581,0.0
10,1.0,30,10,-0.0741952376048562,0.0
10,1.0,30,20,-0.0741952376048562,0.0
10,1.0,30,30,-0.0741952376048562,0.0
10,1.0,30,40,-0.06851868284684509,0.0
10,1.0,30,50,0.1306797232724498,0.0
10,1.0,30,60,0.30766018175164767,0.0
10,1.0,30,70,0.2334145698685257,0.0
10,1.0,30,80,0.2853176650073166,0.0
10,1.0,30,90,0.3921288490621412,0.0
10,1.0,30,100,0.13175522089180303,0.0
10,1.0,35,10,0.27140485342581594,0.0
10,1.0,35,20,0.27140485342581594,0.0
10,1.0,35,30,0.27140485342581594,0.0
10,1.0,35,40,0.3063871684098546,0.0
10,1.0,35,50,0.40560173135504324,0.0
10,1.0,35,60,0.5420887224222133,0.0
10,1.0,35,70,0.4331184732053167,0.0
10,1.0,35,80,0.4752000050529595,0.0
10,1.0,35,90,0.5343782883884635,0.0
10,1.0,35,100,0.33538901766636214,0.0
10,1.0,40,10,0.7888964900857492,0.0
10,1.0,40,20,0.7888964900857492,0.0
10,1.0,40,30,0.7888964900857492,0.0
10,1.0,40,40,0.7888964900857492,0.0
10,1.0,40,50,0.8294540294768359,0.0
10,1.0,40,60,0.4627745478727256,0.0
10,1.0,40,70,0.31441324821190525,0.0
10,1.0,40,80,0.3530091661347838,0.0
10,1.0,40,90,0.4072857113590248,0.0
10,1.0,40,100,0.22477872496580384,0.0
10,1.0,45,10,0.20790070521679155,0.0
10,1.0,45,20,0.20790070521679155,0.0
10,1.0,45,30,0.20790070521679155,0.0
10,1.0,45,40,0.20790070521679155,0.0
10,1.0,45,50,0.23528601269760838,0.0
10,1.0,45,60,0.25078575876930287,0.0
10,1.0,45,70,0.21569242359436272,0.0
10,1.0,45,80,0.17194167078938746,0.0
10,1.0,45,90,0.41460431705163237,0.0
10,1.0,45,100,0.30243939355667193,0.0
10,1.0,50,10,-0.4678187480580437,0.0
10,1.0,50,20,-0.4678187480580437,0.0
10,1.0,50,30,-0.4678187480580437,0.0
10,1.0,50,40,-0.4678187480580437,0.0
10,1.0,50,50,-0.4678187480580437,0.0
10,1.0,50,60,-0.48361959769313034,0.0
10,1.0,50,70,-0.4757462789544914,0.0
10,1.0,50,80,-0.4209267779732591,0.0
10,1.0,50,90,-0.2721551578092785,0.0
10,1.0,50,100,-0.33210389227134424,0.0
10,1.5,10,10,-0.03296743477636628,0.04081632653061224
10,1.5,10,20,-0.19108371951557201,0.022727272727272728
10,1.5,10,30,-0.07377003949977115,0.03125
10,1.5,10,40,-0.3804653261618451,0.0
10,1.5,10,50,-0.09750660322286045,0.0
10,1.5,10,60,0.1417894753066954,0.0
10,1.5,10,70,0.20685540615023904,0.0
10,1.5,10,80,0.049529147563334604,0.0625
10,1.5,10,90,-0.11735880226133862,0.07142857142857142
10,1.5,10,100,0.028553770317052234,0.07142857142857142
10,1.5,15,10,-0.032179278221000765,0.0
10,1.5,15,20,-0.02350706998118027,0.0
10,1.5,15,30,0.13888581062097874,0.0
10,1.5,15,40,-0.0697708108027986,0.0
10,1.5,15,50,0.0824878275809453,0.0
10,1.5,15,60,0.16054339096139908,0.0
10,1.5,15,70,0.07174472664194836,0.0
10,1.5,15,80,-0.050868728639199494,0.0
10,1.5,15,90,-0.21276350311587364,0.0
10,1.5,15,100,0.0907747944224211,0.0
10,1.5,20,10,0.14057009191784553,0.0
10,1.5,20,20,0.14057009191784553,0.0
10,1.5,20,30,0.1708223708467667,0.0
10,1.5,20,40,0.2714933845158686,0.0
10,1.5,20,50,0.010895992126477237,0.0
10,1.5,20,60,0.08504703097187873,0.0
10,1.5,20,70,0.43144375831220894,0.0
10,1.5,20,80,0.340590922993917,0.0
10,1.5,20,90,0.1652181155541776,0.0
10,1.5,20,100,0.26669746845772024,0.0
10,1.5,25,10,-0.09139872958651382,0.0
10,1.5,25,20,-0.09139872958651382,0.0
10,1.5,25,30,-0.07592273929313573,0.0
10,1.5,25,40,0.018024927364679144,0.0
10,1.5,25,50,-0.0032393390792106705,0.0
10,1.5,25,60,0.09987726691333858,0.0
10,1.5,25,70,0.45100848506298086,0.0
10,1.5,25,80,0.28844243018392274,0.0
10,1.5,25,90,0.1652181155541776,0.0
10,1.5,25,100,0.26669746845772024,0.0
10,1.5,30,10,-0.022402197832996292,0.0
10,1.5,30,20,-0.022402197832996292,0.0
10,1.5,30,30,-0.022402197832996292,0.0
10,1.5,30,40,-0.05050400185650372,0.0
10,1.5,30,50,0.1416241561023943,0.0
10,1.5,30,60,0.28821760061436896,0.0
10,1.5,30,70,0.45100848506298086,0.0
10,1.5,30,80,0.4017194716432394,0.0
10,1.5,30,90,0.2676615446842894,0.0
10,1.5,30,100,0.37806274042444155,0.0
10,1.5,35,10,0.2938511739176232,0.0
10,1.5,35,20,0.2938511739176232,0.0
10,1.5,35,30,0.2938511739176232,0.0
10,1.5,35,40,0.25665842241550196,0.0
10,1.5,35,50,0.2851491560888712,0.0
10,1.5,35,60,0.27013569696852696,0.0
10,1.5,35,70,0.4060115775298776,0.0
10,1.5,35,80,0.5594400729962462,0.0
10,1.5,35,90,0.35848553973301606,0.0
10,1.5,35,100,0.5368943243182163,0.0
10,1.5,40,10,0.24230678929521238,0.0
10,1.5,40,20,0.24230678929521238,0.0
10,1.5,40,30,0.24230678929521238,0.0
10,1.5,40,40,0.24230678929521238,0.0
10,1.5,40,50,0.27047214532441455,0.0
10,1.5,40,60,0.011778383231512757,0.0
10,1.5,40,70,-0.01567758054817847,0.0
10,1.5,40,80,0.0917348407176761,0.0
10,1.5,40,90,-0.04894967109052789,0.0
10,1.5,40,100,0.07595098357042637,0.0
10,1.5,45,10,-0.19122194225133643,0.0
10,1.5,45,20,-0.19122194225133643,0.0
10,1.5,45,30,-0.19122194225133643,0.0
10,1.5,45,40,-0.19122194225133643,0.0
